"Item_Number","District","Location","Disposition","Signal_Type","Signal_Description","Occurred_Date_Time","Charge_Code","Charge_Description","Offender_Number","OffenderID","OffenderStatus","Offender_Race","Offender_Gender","Offender_Age","Victim_Number","PersonType","Victim_Race","Victim_Gender","Victim_Age","Victim_Fatal_Status","Hate Crime","Report Type"
"F-07416-25","7","Chef Menteur Hw & Downman Rd","OPEN","966","DRUG LAW VIOLATION","2025-06-08 12:50:00","40 1023","PROHIBITED ACTS - DRUG PARAPHENALIA","1","952088","ARRESTED","BLACK","MALE","32","1","VICTIM",,,,"Non-fatal",,"Supplemental Report"
"F-07416-25","7","Chef Menteur Hw & Downman Rd","OPEN","966","DRUG LAW VIOLATION","2025-06-08 12:50:00","40 967","PROHIBITED ACTS-- SCHEDULE II DRUGS","1","952088","ARRESTED","BLACK","MALE","32","1","VICTIM",,,,"Non-fatal",,"Supplemental Report"
"F-07416-25","7","Chef Menteur Hw & Downman Rd","OPEN","966","DRUG LAW VIOLATION","2025-06-08 12:50:00","40 967","PROHIBITED ACTS-- SCHEDULE II DRUGS","1","952088","ARRESTED","BLACK","MALE","32","1","VICTIM",,,,"Non-fatal",,"Supplemental Report"
"F-08297-25","3","Paris Av & Lafreniere St","OPEN","21","MISCELLANEOUS INCIDENT","2025-06-09 13:21:00",,,,,,,,,"1","REPORTING PERSON","BLACK","FEMALE","36","Non-fatal",,"Incident Report"
"F-09102-25","3","025XX Gladiolus St","OPEN","103","DISTURBANCE","2025-06-10 09:30:00",,,,,,,,,"2","INTERVIEW","BLACK","MALE","65","Non-fatal",,"Incident Report"
"F-08293-25","7","078XX Read Bd","OPEN","103D","DISTURBANCE (DOMESTIC)","2025-06-09 13:36:00",,,,,,,,,"1","REPORTING PERSON","BLACK","FEMALE","40","Non-fatal",,"Incident Report"
"F-08293-25","7","078XX Read Bd","OPEN","103D","DISTURBANCE (DOMESTIC)","2025-06-09 13:36:00",,,,,,,,,"3","INTERVIEW","BLACK","FEMALE","21","Non-fatal",,"Incident Report"
"F-09102-25","3","025XX Gladiolus St","OPEN","103","DISTURBANCE","2025-06-10 09:30:00",,,,,,,,,"3","INTERVIEW","BLACK","MALE","56","Non-fatal",,"Incident Report"
"F-09102-25","3","025XX Gladiolus St","OPEN","103","DISTURBANCE","2025-06-10 09:30:00",,,,,,,,,"4","INTERVIEW","BLACK","FEMALE","85","Non-fatal",,"Incident Report"
"F-09122-25","6","022XX Jackson Av","OPEN","43MB","MISDEMEANOR SEXUAL BATTERY","2025-06-10 09:45:00","14 43.1.1/N","MISDEMEANOR SEXUAL BATTERY/RUBBING/TOUCHING","1","952093",,"BLACK","MALE",,"1","VICTIM","BLACK","FEMALE","39","Non-fatal",,"Incident Report"
